,precision,recall,f1-score,support
pedestrian,0.7805686727619813,0.8784486657620986,0.8266212693514923,8844.0
motor,0.7410132436409502,0.7214490380679492,0.7311002799958519,4886.0
people,0.7433540372670807,0.5838048780487805,0.6539890710382513,5125.0
bicycle,0.561995597945708,0.5951825951825952,0.5781132075471698,1287.0
car,0.8687910643889619,0.9402019340159272,0.9030870099713154,14064.0
van,0.6230816451810927,0.5139240506329114,0.5632630410654828,1975.0
truck,0.4550063371356147,0.4786666666666667,0.4665367121507472,750.0
tricycle,0.6528776978417267,0.3473684210526316,0.45346658338538415,1045.0
awning-tricycle,0.5121951219512195,0.15789473684210525,0.2413793103448276,532.0
bus,0.5577557755775577,0.6733067729083665,0.6101083032490975,251.0
accuracy,0.7808508991460048,0.7808508991460048,0.7808508991460048,0.7808508991460048
macro avg,0.6496639193691893,0.5890247759180032,0.6027664788099619,38759.0
weighted avg,0.772521944743928,0.7808508991460048,0.7713642371242614,38759.0
